"","Gen","Indv","Game","Fitness","Win","Total_Minerals","Total_Gas","Custom_Score","Unit_Score","Kill_Score","Building_Score","Razing_Score","Elapsed_Time"
"1",1,1,1,1.00508366586733,0,1770,0,0,200,0,400,0,591
"2",1,1,2,1.00508366586733,0,1802,0,0,200,0,400,0,596
"3",1,1,3,1.00508366586733,0,1794,0,0,200,0,400,0,594
"4",1,1,4,1.00508366586733,0,1794,0,0,200,0,400,0,600
"5",1,1,5,1.00508366586733,0,1826,0,0,200,0,400,0,604
"6",1,2,1,0.74566644839623,0,4706,0,0,200,0,400,0,1542
"7",1,2,2,0.74566644839623,0,1826,0,0,200,0,400,0,606
"8",1,2,3,0.74566644839623,0,1786,0,0,200,0,400,0,594
"9",1,2,4,0.74566644839623,0,1898,0,0,200,0,400,0,625
"10",1,2,5,0.74566644839623,0,4818,0,0,200,0,400,0,1583
"11",1,3,1,4.40834736200716,0,2426,0,0,750,0,900,0,720
"12",1,3,2,4.40834736200716,0,2114,0,0,750,0,975,0,711
"13",1,3,3,4.40834736200716,0,2186,0,0,750,0,975,0,746
"14",1,3,4,4.40834736200716,1,2250,0,0,750,100,1025,3000,656
"15",1,3,5,4.40834736200716,1,2370,0,0,750,200,1100,3150,686
"16",1,4,1,3.08629194460775,0,2554,0,0,950,0,1075,0,757
"17",1,4,2,3.08629194460775,0,2682,0,0,950,0,1000,0,730
"18",1,4,3,3.08629194460775,0,14370,0,0,4900,200,4050,0,2009
"19",1,4,4,3.08629194460775,0,2786,0,0,1000,0,1175,0,771
"20",1,4,5,3.08629194460775,0,2506,0,0,1000,0,1100,0,775
"21",1,5,1,0.82067182713389,0,6010,0,0,250,0,400,0,1596
"22",1,5,2,0.82067182713389,0,2234,0,0,250,0,400,0,608
"23",1,5,3,0.82067182713389,0,5690,0,0,250,0,400,0,1521
"24",1,5,4,0.82067182713389,0,2178,0,0,250,0,400,0,591
"25",1,5,5,0.82067182713389,0,2138,0,0,250,0,400,0,591
"26",1,6,1,0.751914181871946,0,1658,0,0,200,0,400,0,614
"27",1,6,2,0.751914181871946,0,1786,0,0,200,0,400,0,602
"28",1,6,3,0.751914181871946,0,4626,0,0,200,0,400,0,1519
"29",1,6,4,0.751914181871946,0,1762,0,0,200,0,400,0,591
"30",1,6,5,0.751914181871946,0,4866,0,0,200,0,400,0,1598
"31",1,7,1,0.943806531150591,0,2146,0,0,250,0,400,0,593
"32",1,7,2,0.943806531150591,0,2186,0,0,250,0,400,0,604
"33",1,7,3,0.943806531150591,0,2018,0,0,250,0,400,0,622
"34",1,7,4,0.943806531150591,0,2170,0,0,250,0,400,0,596
"35",1,7,5,0.943806531150591,0,5954,0,0,250,0,400,0,1581
"36",1,8,1,2.79148561033515,0,2730,0,0,750,0,1300,0,784
"37",1,8,2,2.79148561033515,0,3034,0,0,800,0,1400,0,821
"38",1,8,3,2.79148561033515,0,2818,0,0,750,0,1425,0,833
"39",1,8,4,2.79148561033515,0,14718,0,0,3850,0,3550,0,2199
"40",1,8,5,2.79148561033515,0,2706,0,0,700,0,1350,0,763
"41",1,9,1,2.5046703436504,0,2466,0,0,750,0,1000,0,734
"42",1,9,2,2.5046703436504,0,2394,0,0,750,0,1000,0,740
"43",1,9,3,2.5046703436504,0,3002,0,0,950,0,1150,0,786
"44",1,9,4,2.5046703436504,0,2610,0,0,800,0,1075,0,736
"45",1,9,5,2.5046703436504,0,2618,0,0,800,0,1175,0,773
"46",1,10,1,2.60900536700205,0,2386,0,0,700,0,775,0,705
"47",1,10,2,2.60900536700205,0,2378,0,0,700,0,1125,0,769
"48",1,10,3,2.60900536700205,0,2690,0,0,900,0,975,0,720
"49",1,10,4,2.60900536700205,0,13734,0,0,3050,0,2925,0,1856
"50",1,10,5,2.60900536700205,0,2882,0,0,1050,0,1075,0,771
"51",1,11,1,0.996075164623075,0,1826,0,0,200,0,400,0,602
"52",1,11,2,0.996075164623075,0,1778,0,0,200,0,400,0,594
"53",1,11,3,0.996075164623075,0,1818,0,0,200,0,400,0,608
"54",1,11,4,0.996075164623075,0,1794,0,0,200,0,400,0,604
"55",1,11,5,0.996075164623075,0,1794,0,0,200,0,400,0,604
"56",1,12,1,3.26955996232976,0,3730,0,0,1100,0,1325,0,949
"57",1,12,2,3.26955996232976,0,3162,0,0,1050,0,1100,0,777
"58",1,12,3,3.26955996232976,0,14530,0,0,5250,200,4075,1200,2158
"59",1,12,4,3.26955996232976,0,3290,0,0,1050,0,1475,0,796
"60",1,12,5,3.26955996232976,0,2986,0,0,1050,0,1300,0,815
"61",1,13,1,0.86936112688557,0,1722,0,0,200,0,400,0,618
"62",1,13,2,0.86936112688557,0,4626,0,0,200,0,400,0,1517
"63",1,13,3,0.86936112688557,0,1842,0,0,200,0,400,0,612
"64",1,13,4,0.86936112688557,0,1794,0,0,200,0,400,0,598
"65",1,13,5,0.86936112688557,0,1818,0,0,200,0,400,0,602
"66",1,14,1,2.31754801296236,0,2114,0,0,600,0,1100,0,755
"67",1,14,2,2.31754801296236,0,2354,0,0,700,0,900,0,722
"68",1,14,3,2.31754801296236,0,2338,0,0,650,0,950,0,730
"69",1,14,4,2.31754801296236,0,2322,0,0,700,0,1150,0,761
"70",1,14,5,2.31754801296236,0,3002,0,0,1100,0,1150,0,901
"71",1,15,1,1.16654052214898,0,2498,0,0,300,0,400,0,579
"72",1,15,2,1.16654052214898,0,2418,0,0,300,0,400,0,591
"73",1,15,3,1.16654052214898,0,2378,0,0,300,0,400,0,620
"74",1,15,4,1.16654052214898,0,2578,0,0,300,0,400,0,608
"75",1,15,5,1.16654052214898,0,2538,0,0,300,0,400,0,604
"76",1,16,1,0.794307077452146,0,2226,0,0,250,0,400,0,604
"77",1,16,2,0.794307077452146,0,5962,0,0,250,0,400,0,1588
"78",1,16,3,0.794307077452146,0,6742,0,0,250,0,400,0,1792
"79",1,16,4,0.794307077452146,0,2050,0,0,250,0,400,0,625
"80",1,16,5,0.794307077452146,0,2226,0,0,250,0,400,0,600
"81",1,17,1,0.810712713954435,0,1746,0,0,200,0,450,0,604
"82",1,17,2,0.810712713954435,0,4770,0,0,200,0,450,0,1581
"83",1,17,3,0.810712713954435,0,4794,0,0,200,0,450,0,1585
"84",1,17,4,0.810712713954435,0,1770,0,0,200,0,450,0,610
"85",1,17,5,0.810712713954435,0,1730,0,0,200,0,450,0,596
"86",1,18,1,2.09354460896894,0,2298,0,0,650,0,1000,0,879
"87",1,18,2,2.09354460896894,0,1978,0,0,450,0,850,0,676
"88",1,18,3,2.09354460896894,0,1842,0,0,450,0,900,0,680
"89",1,18,4,2.09354460896894,0,10302,0,0,2700,0,2125,0,1747
"90",1,18,5,2.09354460896894,0,1986,0,0,450,0,900,0,703
"91",1,19,1,3.13986705220359,0,4090,0,0,1250,0,1475,0,844
"92",1,19,2,3.13986705220359,0,4834,0,0,1350,0,1750,0,988
