"","Gen","Indv","Game","Fitness","Win","Total_Minerals","Total_Gas","Custom_Score","Unit_Score","Kill_Score","Building_Score","Razing_Score","Elapsed_Time"
"1",1,1,1,1.06500754646946,0,1778,0,0,200,0,450,0,610
"2",1,1,2,1.06500754646946,0,1730,0,0,200,0,450,0,604
"3",1,1,3,1.06500754646946,0,1666,0,0,200,0,450,0,635
"4",1,1,4,1.06500754646946,0,1722,0,0,200,0,450,0,596
"5",1,1,5,1.06500754646946,0,1754,0,0,200,0,450,0,608
"6",1,2,1,1.00421515066234,0,2538,0,0,300,0,400,0,589
"7",1,2,2,1.00421515066234,0,6722,0,0,300,0,400,0,1526
"8",1,2,3,1.00421515066234,0,2522,0,0,300,0,400,0,627
"9",1,2,4,1.00421515066234,0,2410,0,0,300,0,400,0,635
"10",1,2,5,1.00421515066234,0,2570,0,0,300,0,400,0,606
"11",1,3,1,0.869676404326421,0,1666,0,0,200,0,400,0,616
"12",1,3,2,0.869676404326421,0,1658,0,0,200,0,400,0,620
"13",1,3,3,0.869676404326421,0,1794,0,0,200,0,400,0,596
"14",1,3,4,0.869676404326421,0,1778,0,0,200,0,400,0,593
"15",1,3,5,0.869676404326421,0,4706,0,0,200,0,400,0,1546
"16",1,4,1,1.01119197254808,0,5954,0,0,250,0,450,0,1594
"17",1,4,2,1.01119197254808,0,2146,0,0,250,0,450,0,602
"18",1,4,3,1.01119197254808,0,2162,0,0,250,0,450,0,610
"19",1,4,4,1.01119197254808,0,2130,0,0,250,0,450,0,610
"20",1,4,5,1.01119197254808,0,2122,0,0,250,0,450,0,604
"21",1,5,1,1.90043510000359,0,1738,0,0,450,0,1000,0,742
"22",1,5,2,1.90043510000359,0,1634,0,0,450,0,850,0,701
"23",1,5,3,1.90043510000359,0,1674,0,0,500,0,925,0,734
"24",1,5,4,1.90043510000359,0,8378,0,0,1550,0,1675,0,1647
"25",1,5,5,1.90043510000359,0,1898,0,0,500,0,1050,0,864
"26",1,6,1,1.07833762175275,0,2146,0,0,250,0,400,0,596
"27",1,6,2,1.07833762175275,0,2186,0,0,250,0,400,0,604
"28",1,6,3,1.07833762175275,0,2226,0,0,250,0,400,0,604
"29",1,6,4,1.07833762175275,0,2218,0,0,250,0,400,0,606
"30",1,6,5,1.07833762175275,0,2242,0,0,250,0,400,0,604
"31",1,7,1,1.05820201405375,0,2250,0,0,250,0,400,0,612
"32",1,7,2,1.05820201405375,0,2226,0,0,250,0,400,0,612
"33",1,7,3,1.05820201405375,0,2226,0,0,250,0,400,0,606
"34",1,7,4,1.05820201405375,0,2226,0,0,250,0,400,0,600
"35",1,7,5,1.05820201405375,0,2378,0,0,250,0,400,0,643
"36",1,8,1,0.86967585360697,0,1802,0,0,200,0,400,0,606
"37",1,8,2,0.86967585360697,0,1810,0,0,200,0,400,0,604
"38",1,8,3,0.86967585360697,0,1682,0,0,200,0,400,0,620
"39",1,8,4,0.86967585360697,0,4738,0,0,200,0,400,0,1557
"40",1,8,5,0.86967585360697,0,1762,0,0,200,0,400,0,593
"41",1,9,1,1.14694324373611,0,1754,0,0,200,0,500,0,622
"42",1,9,2,1.14694324373611,0,1730,0,0,200,0,500,0,608
"43",1,9,3,1.14694324373611,0,1738,0,0,200,0,500,0,610
"44",1,9,4,1.14694324373611,0,1698,0,0,200,0,500,0,600
"45",1,9,5,1.14694324373611,0,1730,0,0,200,0,500,0,612
"46",1,10,1,1.86543202159796,0,1858,0,0,600,0,1050,0,751
"47",1,10,2,1.86543202159796,0,2778,0,0,950,0,1125,0,908
"48",1,10,3,1.86543202159796,0,1890,0,0,600,0,1050,0,749
"49",1,10,4,1.86543202159796,0,2042,0,0,650,0,1000,0,732
"50",1,10,5,1.86543202159796,0,6638,0,0,250,0,450,0,1805
"51",1,11,1,2.16455621012695,0,1986,0,0,500,0,1100,0,749
"52",1,11,2,2.16455621012695,0,1946,0,0,500,0,1100,0,916
"53",1,11,3,2.16455621012695,0,1602,0,0,400,0,1050,0,732
"54",1,11,4,2.16455621012695,0,3058,0,0,850,200,1475,1200,1782
"55",1,11,5,2.16455621012695,0,6482,0,0,1650,300,2425,1500,2048
"56",1,12,1,2.77170870790892,0,2330,0,0,700,0,1300,0,767
"57",1,12,2,2.77170870790892,0,12654,0,0,3500,0,2825,0,1850
"58",1,12,3,2.77170870790892,0,2482,0,0,750,0,1200,0,751
"59",1,12,4,2.77170870790892,0,2810,0,0,950,0,1050,0,742
"60",1,12,5,2.77170870790892,0,2650,0,0,750,0,1150,0,748
"61",1,13,1,2.20248328907532,0,1882,0,0,550,0,1000,0,749
"62",1,13,2,2.20248328907532,0,1978,0,0,550,0,1100,0,748
"63",1,13,3,2.20248328907532,0,1770,0,0,550,0,1025,0,742
"64",1,13,4,2.20248328907532,0,9170,0,0,1950,400,2325,0,1792
"65",1,13,5,2.20248328907532,0,2186,0,0,650,0,1125,0,885
"66",1,14,1,1.85085603475005,0,1962,0,0,250,0,500,0,686
"67",1,14,2,1.85085603475005,0,2018,0,0,250,0,500,0,713
"68",1,14,3,1.85085603475005,0,2098,0,0,250,0,500,0,631
"69",1,14,4,1.85085603475005,0,2058,0,0,250,0,500,0,616
"70",1,14,5,1.85085603475005,0,13638,0,0,5300,600,3600,0,2020
"71",1,15,1,2.79851125760928,0,2578,0,0,1350,0,775,0,693
"72",1,15,2,2.79851125760928,0,2546,0,0,1200,0,875,0,715
"73",1,15,3,2.79851125760928,0,2594,0,0,1250,0,875,0,759
"74",1,15,4,2.79851125760928,0,2794,0,0,1300,0,950,0,767
"75",1,15,5,2.79851125760928,0,12482,0,0,2000,0,2025,0,1757
"76",1,16,1,1.16373513254318,0,2530,0,0,300,0,400,0,594
"77",1,16,2,1.16373513254318,0,2498,0,0,300,0,400,0,594
"78",1,16,3,1.16373513254318,0,2562,0,0,300,0,400,0,608
"79",1,16,4,1.16373513254318,0,2482,0,0,300,0,400,0,600
"80",1,16,5,1.16373513254318,0,2562,0,0,300,0,400,0,612
"81",1,17,1,2.33491941666688,0,2250,0,0,700,0,1175,0,780
"82",1,17,2,2.33491941666688,0,2410,0,0,700,0,1225,0,815
"83",1,17,3,2.33491941666688,0,2722,0,0,700,0,1200,0,848
"84",1,17,4,2.33491941666688,0,2410,0,0,700,0,1175,0,771
"85",1,17,5,2.33491941666688,0,2202,0,0,600,0,1075,0,749
"86",1,18,1,1.649216923334,0,2810,0,0,650,0,625,0,680
"87",1,18,2,1.649216923334,0,3050,0,0,600,0,625,0,666
"88",1,18,3,1.649216923334,0,2866,0,0,600,0,625,0,635
"89",1,18,4,1.649216923334,0,8194,0,0,550,0,625,0,1617
"90",1,18,5,1.649216923334,0,3018,0,0,600,0,625,0,653
"91",1,19,1,0.634661589447947,0,1810,0,0,200,0,400,0,600
"92",1,19,2,0.634661589447947,0,4586,0,0,200,0,400,0,1507
"93",1,19,3,0.634661589447947,0,4794,0,0,200,0,400,0,1569
"94",1,19,4,0.634661589447947,0,4802,0,0,200,0,400,0,1575
"95",1,19,5,0.634661589447947,0,1794,0,0,200,0,400,0,593
"96",1,20,1,0.890436850979941,0,1778,0,0,200,0,400,0,596
"97",1,20,2,0.890436850979941,0,1794,0,0,200,0,400,0,591
"98",1,20,3,0.890436850979941,0,4786,0,0,200,0,400,0,1569
"99",1,20,4,0.890436850979941,0,1754,0,0,200,0,400,0,583
"100",1,20,5,0.890436850979941,0,1746,0,0,200,0,400,0,589
"101",1,21,1,1.07785833669283,0,2178,0,0,250,0,400,0,602
"102",1,21,2,1.07785833669283,0,2178,0,0,250,0,400,0,596
"103",1,21,3,1.07785833669283,0,2178,0,0,250,0,400,0,600
