"","Gen","Indv","Game","Fitness","Win","Total_Minerals","Total_Gas","Custom_Score","Unit_Score","Kill_Score","Building_Score","Razing_Score","Elapsed_Time"
"1",1,1,1,NA,0,1754,0,0,200,0,400,0,581
"2",1,2,1,NA,0,12398,0,0,4100,0,3675,0,1805
"3",1,3,1,NA,0,1714,0,0,200,0,400,0,614
"4",1,4,1,NA,0,2914,0,0,950,0,1100,0,903
"5",1,5,1,NA,0,2226,0,0,250,0,400,0,604
"6",1,6,1,NA,0,9146,0,0,2250,0,3300,0,1856
"7",1,7,1,NA,0,2242,0,0,250,0,400,0,610
"8",1,8,1,NA,0,4138,0,0,2150,200,1200,0,918
"9",1,9,1,NA,0,1826,0,0,400,0,1050,0,713
"10",1,10,1,NA,0,2114,0,0,250,0,500,0,620
"11",1,11,1,NA,0,2514,0,0,1100,200,1075,0,748
"12",1,12,1,NA,0,1794,0,0,200,0,400,0,600
"13",1,13,1,NA,0,2202,0,0,550,0,1250,0,759
"14",1,14,1,NA,0,6826,0,0,300,0,450,0,1577
"15",1,15,1,NA,0,3418,0,0,1000,0,1350,0,897
"16",1,16,1,NA,0,1802,0,0,200,0,400,0,604
"17",1,17,1,NA,0,2106,0,0,250,0,450,0,602
"18",1,18,1,NA,0,2522,0,0,950,200,975,0,755
"19",1,19,1,NA,0,2466,0,0,850,0,975,0,746
"20",1,20,1,NA,0,4770,0,0,1950,400,1425,0,854
"21",1,21,1,NA,0,2578,0,0,850,0,1225,0,779
"22",1,22,1,NA,0,1738,0,0,200,0,400,0,587
"23",1,23,1,NA,0,1946,0,0,250,0,500,0,684
"24",1,24,1,NA,0,1938,0,0,700,0,1050,0,734
"25",1,25,1,NA,0,1786,0,0,200,0,400,0,594
"26",1,26,1,NA,0,4882,0,0,200,0,400,0,1602
"27",1,27,1,NA,0,2186,0,0,250,0,400,0,608
"28",1,28,1,NA,0,3106,0,0,400,0,550,0,670
"29",1,29,1,NA,0,13966,0,0,3400,400,4175,1200,2123
"30",1,30,1,NA,0,2146,0,0,250,0,450,0,612
"31",1,31,1,NA,0,4754,0,0,200,0,400,0,1561
"32",1,32,1,NA,0,3034,0,0,1150,0,1125,0,800
"33",1,33,1,NA,0,2498,0,0,1050,0,700,0,821
"34",1,34,1,NA,0,15686,0,0,3650,700,3075,1800,2292
"35",1,35,1,NA,0,2018,0,0,550,0,1050,0,749
"36",1,36,1,NA,0,1778,0,0,200,0,400,0,591
"37",1,37,1,NA,0,1986,0,0,750,0,1000,0,740
"38",1,38,1,NA,0,2770,0,0,950,0,1100,0,779
"39",1,39,1,NA,0,3986,0,0,1550,0,1250,0,821
"40",1,40,1,NA,0,4810,0,0,200,0,450,0,1592
"41",1,41,1,NA,0,2522,0,0,300,0,400,0,606
"42",1,42,1,NA,0,2226,0,0,250,0,400,0,616
"43",1,43,1,NA,0,8554,0,0,2700,0,2925,0,1769
"44",1,44,1,NA,0,1770,0,0,200,0,450,0,610
"45",1,45,1,NA,0,2090,0,0,600,0,1150,0,749
"46",1,46,1,NA,0,1794,0,0,200,0,400,0,594
"47",1,47,1,NA,0,4546,0,0,200,0,500,0,1519
"48",1,48,1,NA,0,1658,0,0,400,0,900,0,695
"49",1,49,1,NA,0,12770,0,0,2650,200,2875,0,1829
"50",1,50,1,NA,0,2642,0,0,1050,0,1000,0,751
"51",1,51,1,NA,0,5818,0,0,250,0,400,0,1559
"52",1,52,1,NA,0,4778,0,0,200,0,400,0,1569
"53",1,53,1,NA,0,1754,0,0,200,0,400,0,589
"54",1,54,1,NA,0,1890,0,0,500,0,1100,0,748
