"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300"
"1","Marine","Push_Marines","Push_Marines","Marine","SCV","Push_Marines","Push_Marines","SCV","Marine","SCV","Barracks","Barracks","SCV","Barracks","Marine","Barracks","Marine","SCV","Supply_Depot","Supply_Depot","Barracks","Marine","Push_Marines","SCV","Barracks","Barracks","Marine","SCV","Supply_Depot","SCV","Barracks","Marine","SCV","Marine","Supply_Depot","Barracks","Push_Marines","Barracks","Push_Marines","Supply_Depot","Push_Marines","Push_Marines","Marine","Push_Marines","Push_Marines","Marine","Marine","SCV","Supply_Depot","SCV","Supply_Depot","Barracks","Barracks","Push_Marines","Marine","Supply_Depot","SCV","Barracks","Marine","Push_Marines","Barracks","Barracks","Marine","Marine","SCV","Barracks","Push_Marines","Push_Marines","Marine","Push_Marines","Barracks","Barracks","SCV","Supply_Depot","Push_Marines","Marine","Barracks","Push_Marines","Barracks","Supply_Depot","Supply_Depot","Barracks","Marine","Push_Marines","Supply_Depot","Push_Marines","Marine","Barracks","Push_Marines","Supply_Depot","SCV","Barracks","Barracks","Push_Marines","Marine","Barracks","Marine","SCV","SCV","Supply_Depot","Marine","Supply_Depot","Push_Marines","Push_Marines","Push_Marines","Barracks","Marine","Marine","Barracks","Push_Marines","Marine","Push_Marines","Marine","SCV","Marine","Barracks","Push_Marines","Supply_Depot","Supply_Depot","Supply_Depot","Barracks","Barracks","Marine","Marine","Marine","SCV","Marine","Marine","Barracks","SCV","Supply_Depot","SCV","Marine","Marine","SCV","Marine","Marine","Marine","Push_Marines","Supply_Depot","Marine","Supply_Depot","Supply_Depot","Push_Marines","Barracks","Barracks","Push_Marines","Barracks","Supply_Depot","Supply_Depot","Supply_Depot","Barracks","Push_Marines","Push_Marines","Marine","Marine","Barracks","Marine","Push_Marines","SCV","Push_Marines","Barracks","Marine","SCV","Barracks","SCV","Supply_Depot","Barracks","Push_Marines","Push_Marines","Barracks","SCV","Marine","SCV","Supply_Depot","Marine","Barracks","SCV","Push_Marines","Push_Marines","Barracks","Push_Marines","Push_Marines","SCV","Barracks","Supply_Depot","SCV","Barracks","SCV","Push_Marines","Barracks","Barracks","Push_Marines","Push_Marines","Push_Marines","Supply_Depot","Marine","SCV","Supply_Depot","Supply_Depot","Push_Marines","Marine","Push_Marines","Barracks","Push_Marines","Push_Marines","SCV","SCV","Push_Marines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Supply_Depot","SCV","Barracks","SCV","Marine","Barracks","Marine","SCV","Marine","SCV","SCV","Barracks","Barracks","SCV","Push_Marines","Supply_Depot","Supply_Depot","Marine","SCV","Barracks","Marine","Barracks","Marine","Marine","Supply_Depot","Push_Marines","Marine","Supply_Depot","Marine","Push_Marines","Supply_Depot","Barracks","Supply_Depot","Supply_Depot","Marine","Supply_Depot","Supply_Depot","Push_Marines","SCV","Supply_Depot","Push_Marines","SCV","Barracks","SCV","SCV","SCV","Barracks","Supply_Depot","SCV","Marine","Marine","Barracks","Barracks","Barracks","Marine","Marine","Marine","Supply_Depot","Barracks","Supply_Depot","Barracks","Barracks","SCV","SCV","Barracks","SCV","Supply_Depot","Push_Marines","SCV","Supply_Depot","Push_Marines","SCV","Push_Marines","Supply_Depot","Marine","Marine","Marine","Push_Marines","Push_Marines","Push_Marines","Push_Marines","Push_Marines","Supply_Depot","SCV","Barracks","SCV","SCV","Barracks","Push_Marines","Supply_Depot","SCV","Supply_Depot","Supply_Depot","Push_Marines","Supply_Depot","Supply_Depot","Marine","Push_Marines","Barracks","SCV","SCV","Marine","Supply_Depot","Supply_Depot","SCV","Supply_Depot","Marine","Marine","SCV","Supply_Depot","Supply_Depot","Marine","Marine","Marine","Barracks","Push_Marines","SCV","Supply_Depot","Supply_Depot","Supply_Depot","Push_Marines","Push_Marines","Barracks","SCV","SCV","Push_Marines","Barracks","SCV","Marine","Supply_Depot","Barracks","Marine","SCV","Supply_Depot","SCV","Supply_Depot","Barracks","SCV","Barracks","SCV","Barracks","SCV","Barracks","SCV","SCV","SCV","Marine","Barracks","Push_Marines","Supply_Depot","Marine","Push_Marines","Marine","SCV","SCV","Barracks","Supply_Depot","Marine","Barracks","Barracks","Push_Marines","Barracks","Push_Marines","SCV","Barracks","Barracks","Marine","Push_Marines","SCV","SCV","Push_Marines","SCV","Push_Marines","Supply_Depot","Barracks","Marine","Supply_Depot","SCV","Push_Marines","Push_Marines","SCV","Supply_Depot","Supply_Depot","Barracks","Supply_Depot","Barracks","Barracks","Supply_Depot","Push_Marines","SCV","Push_Marines","Push_Marines","Push_Marines","SCV","SCV","Marine","Marine","Supply_Depot","Marine","Supply_Depot","SCV","Push_Marines","Supply_Depot","Supply_Depot","SCV","SCV","SCV","SCV","Barracks","Marine","Push_Marines","Barracks","Supply_Depot","Push_Marines","Barracks","Marine","Barracks","Barracks","Marine","SCV","Marine","Barracks","Marine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Marine","Supply_Depot","SCV","Marine","Barracks","Marine","Supply_Depot","SCV","Barracks","SCV","SCV","Supply_Depot","Push_Marines","SCV","Barracks","Marine","SCV","Push_Marines","Push_Marines","SCV","Marine","SCV","SCV","Supply_Depot","SCV","Supply_Depot","Barracks","SCV","Push_Marines","SCV","Marine","Marine","Push_Marines","SCV","SCV","SCV","Marine","Push_Marines","Marine","Supply_Depot","SCV","SCV","Barracks","Marine","Push_Marines","Supply_Depot","Barracks","SCV","Barracks","SCV","SCV","Marine","SCV","Supply_Depot","Push_Marines","Supply_Depot","SCV","Barracks","Barracks","SCV","Supply_Depot","Barracks","Marine","Marine","Barracks","Push_Marines","SCV","Marine","Barracks","Push_Marines","Push_Marines","Supply_Depot","Barracks","Supply_Depot","Supply_Depot","SCV","Push_Marines","Marine","Supply_Depot","Barracks","Marine","Marine","Barracks","Barracks","Supply_Depot","Marine","Barracks","Barracks","SCV","Push_Marines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Barracks","SCV","Barracks","SCV","Push_Marines","Marine","Barracks","Barracks","Barracks","Marine","Supply_Depot","Marine","Barracks","Marine","Supply_Depot","Barracks","Push_Marines","SCV","Push_Marines","Supply_Depot","Push_Marines","Barracks","SCV","Push_Marines","Supply_Depot","Barracks","Marine","Barracks","SCV","Barracks","SCV","Marine","Push_Marines","Barracks","Supply_Depot","Marine","Barracks","SCV","SCV","Barracks","Supply_Depot","Push_Marines","SCV","Supply_Depot","Marine","Push_Marines","Marine","Supply_Depot","Push_Marines","SCV","Marine","SCV","Push_Marines","Supply_Depot","Supply_Depot","Marine","SCV","Push_Marines","Marine","SCV","SCV","Supply_Depot","SCV","SCV","Barracks","SCV","Supply_Depot","SCV","Barracks","SCV","SCV","Barracks","Marine","Supply_Depot","Push_Marines","Supply_Depot","Barracks","Barracks","Marine","Marine","Barracks","Marine","Barracks","Marine","Marine","Push_Marines","Marine","SCV","Push_Marines","Marine","Barracks","SCV","Barracks","SCV","Push_Marines","Supply_Depot","SCV","Barracks","Barracks","Barracks","Barracks","Push_Marines","Supply_Depot","SCV","Supply_Depot","Supply_Depot","Marine","Marine","Push_Marines","Push_Marines","Push_Marines","SCV","Marine","Push_Marines","Supply_Depot","Push_Marines","Marine","Barracks","Supply_Depot","Marine","Barracks","Supply_Depot","Push_Marines","Supply_Depot","Push_Marines","SCV","Supply_Depot","Barracks","Push_Marines","SCV","Supply_Depot","SCV","Supply_Depot","Supply_Depot","Push_Marines","Supply_Depot","SCV","SCV","Marine","Supply_Depot","SCV","Barracks","Supply_Depot","Supply_Depot","Push_Marines","Barracks","SCV","Barracks","Push_Marines","Supply_Depot","Supply_Depot","Barracks","Marine","Barracks","SCV","Marine","Barracks","Push_Marines","Supply_Depot","Supply_Depot","Marine","Supply_Depot","Marine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SCV","Marine","Supply_Depot","Marine","Barracks","SCV","Marine","SCV","Push_Marines","Push_Marines","Push_Marines","Push_Marines","Barracks","SCV","Marine","SCV","Marine","Barracks","Marine","Barracks","Push_Marines","Push_Marines","Push_Marines","Supply_Depot","Supply_Depot","Barracks","Marine","Push_Marines","Barracks","Push_Marines","SCV","SCV","Push_Marines","SCV","Push_Marines","Push_Marines","Supply_Depot","Push_Marines","SCV","Push_Marines","Barracks","Barracks","Push_Marines","SCV","Barracks","Barracks","Barracks","Marine","Barracks","Barracks","SCV","Supply_Depot","Marine","Barracks","Barracks","Supply_Depot","Barracks","Supply_Depot","Barracks","SCV","Supply_Depot","SCV","Marine","Supply_Depot","Push_Marines","Marine","Marine","Supply_Depot","Push_Marines","SCV","SCV","Marine","Supply_Depot","Push_Marines","Supply_Depot","Barracks","Marine","Marine","Barracks","Barracks","Marine","Barracks","Barracks","SCV","Push_Marines","Marine","Supply_Depot","Supply_Depot","Supply_Depot","SCV","Push_Marines","Barracks","SCV","Push_Marines","Marine","Push_Marines","SCV","Barracks","Supply_Depot","Supply_Depot","Supply_Depot","Marine","Supply_Depot","Barracks","Push_Marines","Marine","Marine","Marine","Supply_Depot","Marine","Push_Marines","Marine","Supply_Depot","Push_Marines","SCV","Push_Marines","Supply_Depot","SCV","SCV","Supply_Depot","Marine","Marine","Supply_Depot","SCV","Push_Marines","Push_Marines","Barracks","SCV","Supply_Depot","Marine","Marine","Supply_Depot","Supply_Depot","Barracks","SCV","SCV","Barracks","SCV","Marine","Push_Marines","SCV","Push_Marines","Barracks","Marine","Push_Marines","Marine","Marine","Supply_Depot","Supply_Depot","SCV","Supply_Depot","Marine","Barracks","SCV","SCV","Marine","Marine","Supply_Depot","Marine","Push_Marines","Supply_Depot","Marine","Push_Marines","SCV","Marine","SCV","Marine","Push_Marines","Marine","Push_Marines","SCV","SCV","Marine","Supply_Depot","Push_Marines","SCV","Push_Marines","Supply_Depot","SCV","Marine","Push_Marines","Marine","Push_Marines","SCV","SCV","Marine","Barracks","Supply_Depot","SCV","Marine","SCV","SCV","Push_Marines","Push_Marines","Push_Marines","Barracks","Supply_Depot","Supply_Depot","SCV","SCV","Barracks","Barracks","Supply_Depot","Barracks","SCV","Barracks","SCV","Push_Marines","Barracks","SCV","Push_Marines","Supply_Depot","Push_Marines","Marine","Push_Marines","Barracks","Marine","Supply_Depot","Push_Marines","SCV","SCV","Push_Marines","Marine","Barracks","Push_Marines","Push_Marines","Barracks","Supply_Depot","Push_Marines","Supply_Depot","Barracks","Push_Marines","Marine","Barracks","Supply_Depot","Barracks","Barracks","Barracks","Marine","Marine","Marine","Barracks","Marine","Supply_Depot","Marine","Marine","SCV","Marine","Marine","Supply_Depot","Barracks","Push_Marines","Push_Marines","Supply_Depot","Push_Marines","SCV","Barracks","Supply_Depot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","Barracks","Supply_Depot","Barracks","Supply_Depot","SCV","Marine","Marine","Supply_Depot","Barracks","SCV","Marine","Push_Marines","Supply_Depot","Supply_Depot","Barracks","SCV","SCV","Supply_Depot","Barracks","Push_Marines","Barracks","Push_Marines","Push_Marines","Supply_Depot","Supply_Depot","Supply_Depot","SCV","Push_Marines","Supply_Depot","SCV","Marine","Marine","Supply_Depot","Push_Marines","Supply_Depot","Push_Marines","SCV","Supply_Depot","SCV","SCV","Push_Marines","Push_Marines","SCV","Push_Marines","Barracks","Marine","Push_Marines","SCV","Supply_Depot","Barracks","SCV","Supply_Depot","SCV","Supply_Depot","Marine","Push_Marines","Push_Marines","Marine","SCV","Push_Marines","SCV","Supply_Depot","Supply_Depot","Barracks","SCV","Supply_Depot","Barracks","SCV","Barracks","Barracks","Barracks","Push_Marines","Supply_Depot","SCV","Barracks","Supply_Depot","Supply_Depot","Supply_Depot","Barracks","Push_Marines","SCV","Supply_Depot","Marine","Supply_Depot","SCV","SCV","Barracks","Push_Marines","Marine","Barracks","Supply_Depot","Push_Marines","Supply_Depot","Barracks","Barracks","Supply_Depot","Barracks","Supply_Depot","Barracks","Marine","Push_Marines","Marine","Barracks","Barracks","Marine","Marine","Supply_Depot","Push_Marines","SCV","Supply_Depot","Marine","SCV","Supply_Depot","Push_Marines","Push_Marines","Supply_Depot","Marine","SCV","Barracks","Barracks","Marine","Barracks","Barracks","Supply_Depot","Barracks","SCV","Marine","Barracks","Push_Marines","SCV","Push_Marines","Barracks","Push_Marines","Supply_Depot","SCV","Supply_Depot","Supply_Depot","Marine","SCV","Supply_Depot","Supply_Depot","Push_Marines","SCV","SCV","Supply_Depot","Supply_Depot","Marine","Push_Marines","Barracks","Push_Marines","Push_Marines","Marine","Supply_Depot","Supply_Depot","Marine","Marine","Barracks","Marine","SCV","Barracks","Supply_Depot","SCV","Supply_Depot","Marine","Push_Marines","Supply_Depot","Supply_Depot","Barracks","Marine","SCV","Marine","Marine","Push_Marines","Barracks","Supply_Depot","Barracks","Supply_Depot","Supply_Depot","Push_Marines","Push_Marines","Barracks","Barracks","Marine","Marine","SCV","Barracks","Barracks","Marine","Push_Marines","Push_Marines","SCV","Supply_Depot","SCV","Push_Marines","Push_Marines","Push_Marines","Marine","SCV","SCV","Supply_Depot","SCV","SCV","Marine","Barracks","Push_Marines","SCV","Marine","SCV","Marine","SCV","Marine","Marine","Marine","Push_Marines","SCV","Barracks","Barracks","SCV","Supply_Depot","Marine","Marine","Marine","Supply_Depot","SCV","Supply_Depot","SCV","Marine","Push_Marines","Push_Marines","Marine","Marine","SCV","Push_Marines","Push_Marines","SCV","Barracks","Barracks","Barracks","Marine","Marine","Supply_Depot","Marine","Supply_Depot","SCV","SCV","Barracks","Marine","Marine","Marine","Supply_Depot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","SCV","Marine","Barracks","SCV","Supply_Depot","Push_Marines","Push_Marines","Supply_Depot","Supply_Depot","Barracks","Push_Marines","Push_Marines","Supply_Depot","Push_Marines","Barracks","Marine","Push_Marines","SCV","SCV","SCV","Barracks","SCV","Push_Marines","Supply_Depot","Push_Marines","Barracks","Barracks","Barracks","SCV","Supply_Depot","Barracks","Barracks","Marine","Barracks","Push_Marines","SCV","Barracks","Push_Marines","Push_Marines","Supply_Depot","Marine","Supply_Depot","Push_Marines","Marine","Push_Marines","Push_Marines","Barracks","Barracks","Marine","Supply_Depot","Barracks","Barracks","Push_Marines","Supply_Depot","Barracks","Push_Marines","Marine","Barracks","SCV","Marine","Push_Marines","Barracks","Push_Marines","Marine","SCV","Supply_Depot","SCV","Marine","SCV","Push_Marines","Barracks","Push_Marines","Marine","SCV","Barracks","Supply_Depot","Marine","Supply_Depot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","Push_Marines","Barracks","SCV","Push_Marines","Push_Marines","Marine","Marine","Marine","Marine","Push_Marines","SCV","Marine","Barracks","Supply_Depot","SCV","Barracks","SCV","SCV","Barracks","Marine","Push_Marines","Barracks","Push_Marines","SCV","SCV","Push_Marines","Marine","SCV","Supply_Depot","Push_Marines","SCV","SCV","Marine","Marine","Supply_Depot","Push_Marines","Marine","SCV","SCV","Marine","Supply_Depot","Marine","Marine","SCV","Supply_Depot","SCV","Marine","Supply_Depot","Push_Marines","Supply_Depot","Marine","Supply_Depot","Push_Marines","SCV","Push_Marines","SCV","Supply_Depot","Supply_Depot","Marine","Marine","Push_Marines","Supply_Depot","Barracks","Push_Marines","SCV","SCV","Marine","SCV","Push_Marines","Supply_Depot","Barracks","Marine","Push_Marines","Marine","Push_Marines","Supply_Depot","Supply_Depot","SCV","Marine","SCV","Push_Marines","Barracks","Marine","Supply_Depot","SCV","Push_Marines","Push_Marines","Barracks","Push_Marines","Marine","Supply_Depot","SCV","Supply_Depot","Barracks","Barracks","Marine","SCV","SCV","Barracks","Marine","Supply_Depot","Barracks","Push_Marines","SCV","SCV","Push_Marines","SCV","Barracks","Marine","SCV","Marine","Barracks","Supply_Depot","Push_Marines","Push_Marines","Push_Marines","SCV","SCV","Supply_Depot","Supply_Depot","Marine","Barracks","Push_Marines","Supply_Depot","Supply_Depot","Supply_Depot","Barracks","Push_Marines","Marine","Marine","Barracks","Push_Marines","Supply_Depot","SCV","Barracks","SCV","Barracks","Supply_Depot","Push_Marines","SCV","Push_Marines","Supply_Depot","Marine","Barracks","Barracks","SCV","Push_Marines","SCV","Push_Marines","SCV","Supply_Depot","Push_Marines","SCV","SCV","SCV","Supply_Depot","SCV","Barracks","Barracks","Supply_Depot","Barracks","Marine","Push_Marines","Marine","Supply_Depot","Push_Marines","Push_Marines","Barracks","Barracks","SCV","Push_Marines","Supply_Depot","Barracks","SCV","Barracks","Marine","Barracks","Marine","SCV","Marine","SCV","Supply_Depot","Marine","Marine","Push_Marines","Barracks","Push_Marines","Supply_Depot","Push_Marines","Barracks","SCV","Supply_Depot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","Push_Marines","Push_Marines","Barracks","Marine","SCV","Barracks","Marine","Supply_Depot","Barracks","Barracks","Push_Marines","Push_Marines","Supply_Depot","Barracks","SCV","Supply_Depot","Supply_Depot","Barracks","Supply_Depot","Supply_Depot","Push_Marines","Barracks","Push_Marines","Supply_Depot","Supply_Depot","Marine","Marine","Marine","Push_Marines","Barracks","Supply_Depot","Supply_Depot","Barracks","Barracks","SCV","Supply_Depot","Barracks","SCV","Marine","Push_Marines","Barracks","Push_Marines","Supply_Depot","Push_Marines","Barracks","Supply_Depot","Barracks","Marine","Marine","Barracks","Barracks","Supply_Depot","Marine","Marine","SCV","Marine","Push_Marines","Push_Marines","Push_Marines","Marine","Barracks","Barracks","Barracks","Barracks","Marine","Supply_Depot","Push_Marines","Push_Marines","Push_Marines","Supply_Depot","Push_Marines","Marine","Supply_Depot","Barracks","Barracks","SCV","Barracks","SCV","Marine","Barracks","Barracks","Marine","Marine","Supply_Depot","Marine","Barracks","Marine","Push_Marines","Marine","Marine","Push_Marines","SCV","Marine","Marine","Push_Marines","Supply_Depot","Push_Marines","Push_Marines","Barracks","Supply_Depot","SCV","Marine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","SCV","Push_Marines","Push_Marines","Supply_Depot","Supply_Depot","Marine","Barracks","SCV","SCV","Supply_Depot","Barracks","Supply_Depot","Supply_Depot","Push_Marines","Marine","SCV","Push_Marines","Marine","Push_Marines","SCV","Supply_Depot","Supply_Depot","Push_Marines","Marine","Marine","SCV","SCV","SCV","Barracks","Barracks","Push_Marines","Marine","SCV","Barracks","SCV","Push_Marines","SCV","Barracks","Supply_Depot","SCV","Push_Marines","SCV","Push_Marines","SCV","Barracks","Barracks","SCV","Supply_Depot","Push_Marines","Marine","Supply_Depot","Supply_Depot","SCV","Barracks","Marine","Barracks","SCV","Push_Marines","Marine","Supply_Depot","Marine","Supply_Depot","Supply_Depot","Supply_Depot","Supply_Depot","Marine","Barracks","Barracks","Marine","Supply_Depot","Barracks","Push_Marines","Marine","Marine","Push_Marines","Marine","Supply_Depot","SCV","Barracks","Barracks","Marine","SCV","Push_Marines","Marine","Push_Marines","Marine","Marine","Push_Marines","Barracks","SCV","Supply_Depot","Barracks","SCV","Supply_Depot","Push_Marines","Push_Marines","Supply_Depot","Push_Marines","Supply_Depot","Marine","SCV","Marine","Supply_Depot","Marine","Marine","Marine","Supply_Depot","Barracks","Push_Marines","SCV","Push_Marines","SCV","Marine","Marine","SCV","SCV","Marine","Push_Marines","Supply_Depot","SCV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
